Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
Urban,Small,West,Zone 6,3,1,2,4651,Rented,24,0,1,1,91,29.0,13,0,A,5,15,17115
Rural,Large,North,Zone 5,0,0,4,6217,Company Owned,47,0,0,1,210,31.0,4,0,A,3,17,5074
Rural,Mid,South,Zone 2,1,0,4,4306,Company Owned,64,0,0,0,161,37.0,17,0,A,6,22,23137
Rural,Mid,North,Zone 3,7,4,2,6000,Rented,50,0,0,0,103,21.0,17,1,A+,3,27,22115
Rural,Large,North,Zone 5,3,1,2,4740,Company Owned,42,1,0,1,112,25.0,18,0,C,6,24,24071
Rural,Small,West,Zone 1,8,0,2,5053,Rented,37,0,0,1,152,35.0,23,1,A+,3,3,32134
Rural,Large,West,Zone 6,8,0,4,4449,Company Owned,38,0,0,1,77,27.0,24,0,B,3,6,30142
Rural,Large,North,Zone 5,1,0,4,7183,Rented,45,0,0,0,241,23.0,18,0,C,6,24,24093
Rural,Small,South,Zone 6,8,1,4,5381,Rented,42,0,0,1,124,22.0,13,1,A+,5,2,18082
Rural,Small,South,Zone 6,4,3,3,3869,Company Owned,35,0,0,0,78,43.0,6,0,C,6,2,7130
Rural,Large,North,Zone 6,7,1,3,4623,Company Owned,31,0,0,1,150,37.0,17,0,B+,4,6,21125
Rural,Large,North,Zone 6,7,0,5,4627,Rented,40,0,0,0,225,16.0,11,0,B,2,28,14115
Urban,Mid,North,Zone 2,4,0,3,5012,Rented,48,0,0,0,95,28.0,4,0,B+,1,1,5124
Rural,Mid,South,Zone 4,6,1,2,6858,Company Owned,26,0,0,1,242,36.0,22,1,A,5,11,30063
Rural,Small,West,Zone 6,8,1,4,5022,Rented,68,0,0,1,129,37.0,6,0,B,3,9,7055
